"store_id","category_id","category_name","total_inventory"
1,1,"Action",169
1,2,"Animation",161
1,3,"Children",129
1,4,"Classics",131
1,5,"Comedy",142
1,6,"Documentary",130
1,7,"Drama",162
1,8,"Family",157
1,9,"Foreign",153
1,10,"Games",128
1,11,"Horror",112
1,12,"Music",122
1,13,"New",148
1,14,"Sci-Fi",149
1,15,"Sports",163
1,16,"Travel",114
2,1,"Action",143
2,2,"Animation",174
2,3,"Children",140
2,4,"Classics",139
2,5,"Comedy",127
2,6,"Documentary",164
2,7,"Drama",138
2,8,"Family",153
2,9,"Foreign",147
2,10,"Games",148
2,11,"Horror",136
2,12,"Music",110
2,13,"New",127
2,14,"Sci-Fi",163
2,15,"Sports",181
2,16,"Travel",121
